,H_goal_diff,A_goal_diff,H_win,A_win,H_win_against,A_win_against
3395,-6.0,-16.0,7.0,5.0,2.0,0.0
3396,-6.0,-13.0,7.0,3.0,1.0,2.0
3397,-2.0,1.0,6.0,7.0,2.0,0.0
3398,-19.0,-2.0,2.0,6.0,1.0,2.0
3399,-14.0,-8.0,5.0,5.0,2.0,1.0
3400,-8.0,15.0,4.0,11.0,0.0,1.0
3401,10.0,-13.0,9.0,3.0,3.0,0.0
3402,7.0,32.0,10.0,14.0,0.0,0.0
3403,40.0,-17.0,17.0,4.0,1.0,0.0
3404,-19.0,-13.0,4.0,3.0,1.0,1.0
3405,7.0,-23.0,11.0,3.0,1.0,0.0
3406,-4.0,20.0,6.0,11.0,0.0,2.0
3407,30.0,-5.0,13.0,8.0,1.0,0.0
3408,16.0,-6.0,13.0,5.0,1.0,2.0
3409,2.0,10.0,9.0,13.0,1.0,2.0
3410,-12.0,-1.0,3.0,8.0,2.0,1.0
3411,-1.0,-7.0,7.0,5.0,1.0,1.0
3412,-18.0,9.0,4.0,8.0,0.0,1.0
3413,32.0,-1.0,14.0,8.0,1.0,0.0
3414,15.0,-10.0,12.0,6.0,2.0,1.0
3415,-8.0,12.0,5.0,11.0,0.0,3.0
3416,-12.0,43.0,3.0,17.0,0.0,3.0
3417,-17.0,-19.0,5.0,2.0,1.0,2.0
3418,15.0,-5.0,11.0,5.0,1.0,1.0
3419,-1.0,-9.0,7.0,5.0,0.0,2.0
3420,9.0,-4.0,12.0,8.0,2.0,0.0
3421,-7.0,-19.0,8.0,5.0,0.0,0.0
3422,-25.0,-6.0,3.0,5.0,1.0,0.0
3423,-14.0,14.0,3.0,12.0,0.0,1.0
3424,-1.0,19.0,6.0,15.0,1.0,2.0
3425,-6.0,-8.0,6.0,6.0,0.0,1.0
3426,-12.0,6.0,6.0,9.0,0.0,2.0
3427,23.0,43.0,13.0,15.0,0.0,2.0
3428,29.0,-7.0,13.0,6.0,3.0,0.0
3429,-19.0,-15.0,2.0,5.0,0.0,2.0
3430,-26.0,-4.0,3.0,6.0,0.0,2.0
3431,5.0,19.0,10.0,11.0,1.0,0.0
3432,-9.0,-15.0,6.0,3.0,1.0,1.0
3433,-5.0,-23.0,5.0,4.0,0.0,0.0
3434,15.0,-25.0,12.0,3.0,2.0,1.0
3435,4.0,1.0,9.0,9.0,0.0,1.0
3436,-5.0,20.0,7.0,15.0,1.0,1.0
3437,-12.0,-15.0,5.0,5.0,2.0,1.0
3438,29.0,-21.0,14.0,3.0,1.0,0.0
3439,3.0,28.0,8.0,12.0,1.0,2.0
3440,21.0,0.0,11.0,8.0,2.0,0.0
3441,1.0,-6.0,9.0,7.0,1.0,2.0
3442,-23.0,-25.0,3.0,3.0,0.0,0.0
3443,29.0,-4.0,12.0,8.0,2.0,0.0
3444,-16.0,-6.0,3.0,5.0,1.0,1.0
3445,-24.0,31.0,4.0,14.0,0.0,3.0
3446,-27.0,-12.0,3.0,5.0,1.0,0.0
3447,-4.0,8.0,6.0,11.0,1.0,2.0
3448,-11.0,-1.0,6.0,7.0,0.0,2.0
3449,17.0,13.0,14.0,12.0,1.0,2.0
3450,-4.0,-29.0,5.0,4.0,0.0,0.0
3451,18.0,-10.0,11.0,5.0,3.0,0.0
3452,-10.0,-8.0,5.0,4.0,0.0,3.0
3453,-5.0,-16.0,7.0,5.0,1.0,0.0
3454,-3.0,20.0,6.0,11.0,1.0,2.0
3455,49.0,-8.0,18.0,6.0,2.0,0.0
3456,-13.0,-29.0,4.0,1.0,1.0,1.0
3457,-6.0,18.0,6.0,12.0,0.0,2.0
3458,-27.0,18.0,3.0,12.0,0.0,2.0
3459,-13.0,22.0,4.0,12.0,0.0,2.0
3460,3.0,-4.0,9.0,6.0,0.0,0.0
3461,7.0,-21.0,11.0,3.0,2.0,0.0
3462,-22.0,-3.0,3.0,6.0,1.0,1.0
3463,30.0,-22.0,13.0,4.0,3.0,0.0
3464,-4.0,19.0,5.0,11.0,1.0,2.0
3465,15.0,29.0,13.0,12.0,1.0,1.0
3466,-10.0,14.0,7.0,14.0,0.0,3.0
3467,-6.0,-5.0,7.0,7.0,1.0,1.0
3468,-18.0,-13.0,5.0,5.0,2.0,0.0
3469,-17.0,-8.0,3.0,7.0,0.0,0.0
3470,-6.0,12.0,7.0,12.0,0.0,1.0
3471,-13.0,4.0,5.0,9.0,1.0,2.0
3472,-21.0,34.0,3.0,14.0,1.0,1.0
3473,1.0,-5.0,7.0,5.0,0.0,2.0
3474,-26.0,-9.0,3.0,7.0,0.0,0.0
3475,-6.0,-20.0,6.0,3.0,1.0,0.0
3476,31.0,-17.0,13.0,3.0,1.0,0.0
3477,12.0,-16.0,14.0,6.0,2.0,1.0
3478,17.0,-4.0,11.0,7.0,3.0,0.0
3479,-3.0,6.0,8.0,11.0,1.0,1.0
3480,21.0,-9.0,12.0,7.0,1.0,2.0
3481,9.0,31.0,11.0,13.0,1.0,0.0
3482,-6.0,-21.0,7.0,3.0,3.0,0.0
3483,-20.0,14.0,3.0,13.0,0.0,2.0
3484,37.0,-3.0,14.0,7.0,2.0,0.0
3485,-3.0,-6.0,5.0,6.0,1.0,2.0
3486,-3.0,11.0,8.0,13.0,0.0,2.0
3487,-15.0,-20.0,6.0,3.0,0.0,0.0
3488,-25.0,-9.0,3.0,6.0,0.0,0.0
3489,-11.0,-10.0,5.0,5.0,0.0,1.0
3490,-2.0,3.0,7.0,8.0,2.0,0.0
3491,-15.0,-20.0,3.0,3.0,0.0,0.0
3492,2.0,-27.0,8.0,3.0,0.0,0.0
3493,-3.0,-11.0,5.0,5.0,1.0,2.0
3494,15.0,-4.0,12.0,6.0,1.0,0.0
3495,19.0,-30.0,12.0,2.0,2.0,0.0
3496,-10.0,0.0,6.0,9.0,1.0,0.0
3497,-22.0,14.0,3.0,9.0,0.0,3.0
3498,26.0,32.0,13.0,15.0,1.0,1.0
3499,-12.0,7.0,3.0,10.0,0.0,3.0
3500,-4.0,-25.0,8.0,2.0,0.0,1.0
3501,-22.0,-22.0,4.0,3.0,2.0,0.0
3502,9.0,8.0,11.0,12.0,1.0,2.0
3503,-18.0,26.0,2.0,11.0,0.0,2.0
3504,38.0,-5.0,14.0,7.0,2.0,0.0
3505,1.0,-11.0,7.0,5.0,0.0,1.0
3506,3.0,17.0,8.0,14.0,1.0,1.0
3507,-14.0,-14.0,6.0,4.0,0.0,0.0
3508,6.0,-5.0,9.0,5.0,2.0,0.0
3509,19.0,-6.0,11.0,7.0,2.0,1.0
3510,-8.0,-11.0,6.0,6.0,0.0,0.0
3511,-22.0,-4.0,3.0,8.0,0.0,0.0
3512,-10.0,-1.0,6.0,7.0,1.0,1.0
3513,25.0,-20.0,11.0,5.0,2.0,0.0
3514,-25.0,-1.0,2.0,6.0,1.0,1.0
3515,-11.0,-17.0,5.0,2.0,0.0,2.0
3516,-8.0,9.0,7.0,11.0,1.0,1.0
3517,-6.0,21.0,5.0,12.0,1.0,2.0
3518,7.0,9.0,11.0,10.0,2.0,0.0
3519,17.0,43.0,14.0,15.0,0.0,2.0
3520,21.0,33.0,13.0,15.0,0.0,2.0
3521,-3.0,19.0,7.0,13.0,0.0,2.0
3522,-28.0,1.0,3.0,6.0,0.0,0.0
3523,-4.0,-3.0,7.0,5.0,0.0,0.0
3524,-14.0,-9.0,4.0,6.0,0.0,3.0
3525,-5.0,-6.0,5.0,5.0,2.0,0.0
3526,-28.0,13.0,2.0,11.0,0.0,1.0
3527,16.0,-1.0,10.0,7.0,1.0,2.0
3528,34.0,-5.0,17.0,4.0,2.0,0.0
3529,-16.0,-26.0,4.0,3.0,0.0,0.0
3530,-23.0,-12.0,3.0,5.0,0.0,0.0
3531,-2.0,18.0,6.0,14.0,0.0,3.0
3532,-20.0,5.0,2.0,9.0,0.0,2.0
3533,-5.0,-4.0,8.0,8.0,1.0,2.0
3534,-2.0,0.0,6.0,9.0,0.0,2.0
3535,-24.0,-12.0,3.0,6.0,1.0,1.0
3536,20.0,-10.0,12.0,6.0,2.0,0.0
3537,15.0,5.0,12.0,8.0,2.0,0.0
3538,25.0,-28.0,12.0,2.0,3.0,0.0
3539,42.0,6.0,15.0,11.0,1.0,1.0
3540,-11.0,-9.0,5.0,6.0,0.0,2.0
3541,7.0,-18.0,8.0,5.0,1.0,0.0
3542,-28.0,-19.0,2.0,2.0,0.0,2.0
3543,5.0,-2.0,11.0,6.0,3.0,0.0
3544,22.0,14.0,16.0,11.0,2.0,1.0
3545,-3.0,26.0,7.0,12.0,0.0,2.0
3546,-1.0,43.0,7.0,15.0,0.0,3.0
3547,-6.0,21.0,8.0,12.0,1.0,1.0
3548,-10.0,-16.0,6.0,3.0,0.0,0.0
3549,-13.0,-3.0,6.0,5.0,1.0,0.0
3550,-16.0,-11.0,5.0,6.0,0.0,0.0
